country_name,country_iso3,year,indicator_name,indicator_code,value,indicator_category
Sri Lanka,LKA,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,0.968,Electricity Access
Sri Lanka,LKA,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,0.956,Electricity Access
Sri Lanka,LKA,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,0.956,Electricity Access
Sri Lanka,LKA,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,0.9420000000000001,Electricity Access
Sri Lanka,LKA,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,0.953,Electricity Access
Sri Lanka,LKA,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,0.9440000000000001,Electricity Access
Sri Lanka,LKA,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,0.92,Electricity Access
Sri Lanka,LKA,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,0.9129999999999999,Electricity Access
Sri Lanka,LKA,2003,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,0.9059999999999999,Electricity Access
Sri Lanka,LKA,2002,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,0.9129999999999999,Electricity Access
Sri Lanka,LKA,2001,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,0.853,Electricity Access
Sri Lanka,LKA,2000,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,0.887,Electricity Access
Sri Lanka,LKA,2022,Access to electricity (% of population),EG.ELC.ACCS.ZS,1.0,Electricity Access
Sri Lanka,LKA,2021,Access to electricity (% of population),EG.ELC.ACCS.ZS,1.0,Electricity Access
Sri Lanka,LKA,2020,Access to electricity (% of population),EG.ELC.ACCS.ZS,1.0,Electricity Access
Sri Lanka,LKA,2019,Access to electricity (% of population),EG.ELC.ACCS.ZS,0.998,Electricity Access
Sri Lanka,LKA,2018,Access to electricity (% of population),EG.ELC.ACCS.ZS,0.996,Electricity Access
Sri Lanka,LKA,2017,Access to electricity (% of population),EG.ELC.ACCS.ZS,0.975,Electricity Access
Sri Lanka,LKA,2016,Access to electricity (% of population),EG.ELC.ACCS.ZS,0.975,Electricity Access
Sri Lanka,LKA,2015,Access to electricity (% of population),EG.ELC.ACCS.ZS,0.943,Electricity Access
Sri Lanka,LKA,2014,Access to electricity (% of population),EG.ELC.ACCS.ZS,0.927,Electricity Access
Sri Lanka,LKA,2013,Access to electricity (% of population),EG.ELC.ACCS.ZS,0.902,Electricity Access
Sri Lanka,LKA,2012,Access to electricity (% of population),EG.ELC.ACCS.ZS,0.87,Electricity Access
Sri Lanka,LKA,2011,Access to electricity (% of population),EG.ELC.ACCS.ZS,0.878,Electricity Access
Sri Lanka,LKA,2010,Access to electricity (% of population),EG.ELC.ACCS.ZS,0.853,Electricity Access
Sri Lanka,LKA,2009,Access to electricity (% of population),EG.ELC.ACCS.ZS,0.871,Electricity Access
Sri Lanka,LKA,2008,Access to electricity (% of population),EG.ELC.ACCS.ZS,0.8290000000000001,Electricity Access
Sri Lanka,LKA,2007,Access to electricity (% of population),EG.ELC.ACCS.ZS,0.8,Electricity Access
Sri Lanka,LKA,2006,Access to electricity (% of population),EG.ELC.ACCS.ZS,0.821,Electricity Access
Sri Lanka,LKA,2005,Access to electricity (% of population),EG.ELC.ACCS.ZS,0.7809999999999999,Electricity Access
Sri Lanka,LKA,2004,Access to electricity (% of population),EG.ELC.ACCS.ZS,0.765,Electricity Access
Sri Lanka,LKA,2003,Access to electricity (% of population),EG.ELC.ACCS.ZS,0.75,Electricity Access
Sri Lanka,LKA,2002,Access to electricity (% of population),EG.ELC.ACCS.ZS,0.807,Electricity Access
Sri Lanka,LKA,2001,Access to electricity (% of population),EG.ELC.ACCS.ZS,0.636,Electricity Access
Sri Lanka,LKA,2000,Access to electricity (% of population),EG.ELC.ACCS.ZS,0.703,Electricity Access
Sri Lanka,LKA,2021,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.488,Renewable Energy
Sri Lanka,LKA,2020,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.493,Renewable Energy
Sri Lanka,LKA,2019,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.461,Renewable Energy
Sri Lanka,LKA,2018,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.479,Renewable Energy
Sri Lanka,LKA,2017,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.45799999999999996,Renewable Energy
Sri Lanka,LKA,2016,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.451,Renewable Energy
Sri Lanka,LKA,2015,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.513,Renewable Energy
Sri Lanka,LKA,2014,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.542,Renewable Energy
Sri Lanka,LKA,2013,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.569,Renewable Energy
Sri Lanka,LKA,2012,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.529,Renewable Energy
Sri Lanka,LKA,2011,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.564,Renewable Energy
Sri Lanka,LKA,2010,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.619,Renewable Energy
Sri Lanka,LKA,2009,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.635,Renewable Energy
Sri Lanka,LKA,2008,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.616,Renewable Energy
Sri Lanka,LKA,2007,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.602,Renewable Energy
Sri Lanka,LKA,2006,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.622,Renewable Energy
Sri Lanka,LKA,2005,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.601,Renewable Energy
Sri Lanka,LKA,2004,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.616,Renewable Energy
Sri Lanka,LKA,2003,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.613,Renewable Energy
Sri Lanka,LKA,2002,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.621,Renewable Energy
Sri Lanka,LKA,2001,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.629,Renewable Energy
Sri Lanka,LKA,2000,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.642,Renewable Energy
Sri Lanka,LKA,1999,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.632,Renewable Energy
Sri Lanka,LKA,1998,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.642,Renewable Energy
Sri Lanka,LKA,1997,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.659,Renewable Energy
Sri Lanka,LKA,1996,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.644,Renewable Energy
Sri Lanka,LKA,1995,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.6990000000000001,Renewable Energy
Sri Lanka,LKA,1994,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.706,Renewable Energy
Sri Lanka,LKA,1993,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.742,Renewable Energy
Sri Lanka,LKA,1992,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.753,Renewable Energy
Sri Lanka,LKA,1991,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.78,Renewable Energy
Sri Lanka,LKA,1990,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.7809999999999999,Renewable Energy
Sri Lanka,LKA,2011,Time to obtain an electrical connection (days),IC.ELC.DURS,42.4,Service Quality
Sri Lanka,LKA,2019,Time required to get electricity (days),IC.ELC.TIME,100.0,Electricity Access
Sri Lanka,LKA,2018,Time required to get electricity (days),IC.ELC.TIME,100.0,Electricity Access
Sri Lanka,LKA,2017,Time required to get electricity (days),IC.ELC.TIME,100.0,Electricity Access
Sri Lanka,LKA,2016,Time required to get electricity (days),IC.ELC.TIME,100.0,Electricity Access
Sri Lanka,LKA,2015,Time required to get electricity (days),IC.ELC.TIME,100.0,Electricity Access
Sri Lanka,LKA,2014,Time required to get electricity (days),IC.ELC.TIME,104.0,Electricity Access
Sri Lanka,LKA,2013,Time required to get electricity (days),IC.ELC.TIME,104.0,Electricity Access
Sri Lanka,LKA,2012,Time required to get electricity (days),IC.ELC.TIME,126.0,Electricity Access
Sri Lanka,LKA,2011,Time required to get electricity (days),IC.ELC.TIME,126.0,Electricity Access
Sri Lanka,LKA,2010,Time required to get electricity (days),IC.ELC.TIME,126.0,Electricity Access
Sri Lanka,LKA,2009,Time required to get electricity (days),IC.ELC.TIME,126.0,Electricity Access
Sri Lanka,LKA,2011,Firms using banks to finance investment (% of firms),IC.FRM.BNKS.ZS,4.36e-07,Investments
Sri Lanka,LKA,2011,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,0.03,Service Quality
Sri Lanka,LKA,2023,Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,8.32,Investments
Sri Lanka,LKA,2014,Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,13.585,Investments
Sri Lanka,LKA,2012,Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,168.2975,Investments
Sri Lanka,LKA,2011,Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,116.96,Investments
Sri Lanka,LKA,2010,Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,168.2975,Investments
Sri Lanka,LKA,2009,Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,41.7,Investments
Sri Lanka,LKA,2008,Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,45.65,Investments
Sri Lanka,LKA,2007,Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,46.0,Investments
Sri Lanka,LKA,2006,Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,1.0,Investments
Sri Lanka,LKA,2005,Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,64.1,Investments
Sri Lanka,LKA,2004,Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,80.8,Investments
Sri Lanka,LKA,2003,Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,20.78,Investments
Sri Lanka,LKA,2002,Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,40.75,Investments
Sri Lanka,LKA,2001,Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,136.5,Investments
Sri Lanka,LKA,1999,Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,77.3,Investments
Sri Lanka,LKA,1997,Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,16.0,Investments
Sri Lanka,LKA,1996,Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,63.0,Investments
Sri Lanka,LKA,1995,Investment in energy with private participation (current US$),IE.PPI.ENGY.CD,21.7,Investments
Sri Lanka,LKA,2021,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,0.0,Mining
Sri Lanka,LKA,2020,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,0.0,Mining
Sri Lanka,LKA,2019,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,0.0,Mining
Sri Lanka,LKA,2018,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,63549.1326711705,Mining
Sri Lanka,LKA,2017,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,95685.80464916775,Mining
Sri Lanka,LKA,2016,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,95685.80464916775,Mining
Sri Lanka,LKA,2015,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,95685.80464916775,Mining
Sri Lanka,LKA,2014,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,95685.80464916775,Mining
Sri Lanka,LKA,2013,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,95685.80464916775,Mining
Sri Lanka,LKA,2012,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,95685.80464916775,Mining
Sri Lanka,LKA,2011,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,95685.80464916775,Mining
Sri Lanka,LKA,2010,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,95685.80464916775,Mining
Sri Lanka,LKA,2009,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,95685.80464916775,Mining
Sri Lanka,LKA,2008,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,95685.80464916775,Mining
Sri Lanka,LKA,2007,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,95685.80464916775,Mining
Sri Lanka,LKA,2006,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,78688.725619866,Mining
Sri Lanka,LKA,2005,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,0.0,Mining
Sri Lanka,LKA,2004,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,0.0,Mining
Sri Lanka,LKA,2003,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,0.0,Mining
Sri Lanka,LKA,2002,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,0.0,Mining
Sri Lanka,LKA,2001,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,0.0,Mining
Sri Lanka,LKA,2000,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,0.0,Mining
Sri Lanka,LKA,1999,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,0.0,Mining
Sri Lanka,LKA,1998,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,0.0,Mining
Sri Lanka,LKA,1997,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,0.0,Mining
Sri Lanka,LKA,1996,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,0.0,Mining
Sri Lanka,LKA,1995,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,0.0,Mining
Sri Lanka,LKA,1994,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,0.0,Mining
Sri Lanka,LKA,1993,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,0.0,Mining
Sri Lanka,LKA,1992,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,0.0,Mining
Sri Lanka,LKA,1991,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,0.0,Mining
Sri Lanka,LKA,1990,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,0.0,Mining
Sri Lanka,LKA,1989,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,0.0,Mining
Sri Lanka,LKA,1988,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,0.0,Mining
Sri Lanka,LKA,1987,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,0.0,Mining
Sri Lanka,LKA,1986,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,0.0,Mining
Sri Lanka,LKA,1985,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,3964.74883431229,Mining
Sri Lanka,LKA,1984,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,0.0,Mining
Sri Lanka,LKA,1983,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,12477.4297039171,Mining
Sri Lanka,LKA,1982,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,18895.5564774318,Mining
Sri Lanka,LKA,1981,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,29849.3849224993,Mining
Sri Lanka,LKA,1980,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,19648.6117690399,Mining
Sri Lanka,LKA,1979,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,0.0,Mining
Sri Lanka,LKA,1978,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,0.0,Mining
Sri Lanka,LKA,1977,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,0.0,Mining
Sri Lanka,LKA,1976,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,0.0,Mining
Sri Lanka,LKA,1975,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,0.0,Mining
Sri Lanka,LKA,1974,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,0.0,Mining
Sri Lanka,LKA,1973,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,0.0,Mining
Sri Lanka,LKA,1972,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,0.0,Mining
Sri Lanka,LKA,1971,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,0.0,Mining
Sri Lanka,LKA,1970,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,0.0,Mining
Sri Lanka,LKA,2021,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,0.0,Mining
Sri Lanka,LKA,2020,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,0.0,Mining
Sri Lanka,LKA,2019,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,0.0,Mining
Sri Lanka,LKA,2018,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,6.90032997160833e-05,Mining
Sri Lanka,LKA,2017,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,0.0004707167193719,Mining
Sri Lanka,LKA,2016,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,0.0006490107155546,Mining
Sri Lanka,LKA,2015,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,0.0010295816539538751,Mining
Sri Lanka,LKA,2014,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,0.0010295816539538751,Mining
Sri Lanka,LKA,2013,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,0.0010295816539538751,Mining
Sri Lanka,LKA,2012,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,0.0010295816539538751,Mining
Sri Lanka,LKA,2011,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,0.0010295816539538751,Mining
Sri Lanka,LKA,2010,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,0.0010295816539538751,Mining
Sri Lanka,LKA,2009,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,0.0010295816539538751,Mining
Sri Lanka,LKA,2008,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,0.0010295816539538751,Mining
Sri Lanka,LKA,2007,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,0.0005860911472858,Mining
Sri Lanka,LKA,2006,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,0.0002821314511055,Mining
Sri Lanka,LKA,2005,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,0.0,Mining
Sri Lanka,LKA,2004,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,0.0,Mining
Sri Lanka,LKA,2003,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,0.0,Mining
